"species","habitat","structure_prob_cutoff","STRUCTURE","BAPS","DAPC","Av_groups","Fst_vcftools","Dxy_Mike_and_Oscar","Fst_Mike_and_Oscar","SNPs","loci","SNPs_per_locus","av_contig_length","total_bp","SNPs_per_bp","Av_UCE_gene_tree_length","D","theta","seg_sites","pairwise_diffs","nuc_div","seg_sites_per_bp","subtending_branch","stem_length","log.theta","species_sample","log.total_bp","mtDNA.branch.length","Beak.Length_Culmen_1","Beak.Length_Nares","Beak.Width_1","Beak.Depth_1","Tarsus.Length_1","Wing.Length_1","Kipps.Distance_1","Secondary1_1","Hand.wing.Index","Tail.Length_1","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Mass","Range.Size","haplotype.F_ST","nucleotide.F_ST","Nei.G_ST","Hudson.G_ST","Hudson.H_ST","Hudson.K_ST","Dxy","e_statistic","e_slope","a_statistic","a_slope","Nei.G_ST.pop","nucleotide.F_ST.pop","Dxy.pop","Sister_clade_richness","heterozygosity","inbreeding"
"Leucippus_chlorocercus","island",1,1,1,1,1,0.045538,0.001009845,0.001014322,2326,1927,1.207058,715.1966788,1378184,0.001687728,0.001917223,-0.729173143,1584.738292,4109,1374.821429,0.00103774,0.00298146,NA,NA,3.199957552,"Leucippus_chlorocercus_58_LSU7264",6.139307204,NA,19.55,14.825,2.375,2.05,5.875,56.125,34.05,22.075,60.675,35.25,3,1,1,1,2,1,4.6,173795.89,0.0163135830683884,0.0224127320865798,0.252320132626865,0.0248851939311248,0.703916449086162,0.451353782360702,0.000867139770386231,0.0236997,0.0262899,-0.0124199,0.045771,0.13871725749195,0.00747159235387015,0.000903741133166068,40,0.358026104,0.0191475
"Mazaria_propinqua","island",1,1,1,1,1,-0.031166,0.002085698,0.002107563,3094,2168,1.427122,739.8929889,1604088,0.001928822,0.002436148,-1.231947256,6116.852446,21701,4321.6,0.00341654,0.01352856,0.008477749,0.006041601,3.786528004,"Mazaria_propinqua_135_LSU43083",6.20522819,0.000354,17.3,11.5625,3.15555555555556,3.62222222222222,21.8333333333333,58.8444444444444,6.425,52.6625,10.8375,69.75,3,1,1,3,4,3,19.9,531677.41,0.0178679751683384,0.0121797312511414,0.296652124631869,0.019175358563298,0.850844277673546,0.485486077625522,0.001128614022623,0.0110709,0.00736059,-0.0427887,0.0149744,0.0805533045588899,0.0175341305103446,0.000764969414902432,1,0.208282381,0.114385
"Megascops_choliba","floodplain",1,1,1,1,1,0.033351,0.010035,0.0105154,3370,2109,1.597914,587.3091513,1238635,0.002720737,0.001576633,-1.639733,1214.695277,4428,731.5281385,0.000632095,0.003875234,NA,NA,3.099637631,"Megascops_choliba_AMNH4811",6.092943348,0.009314,21.7818181818182,12.1,6.95625,11.7157894736842,30.0272727272727,162.780952380952,33.6222222222222,124.544444444444,21.0333333333333,91.252380952381,4,2,1,3,4,3,132,13065137.78,0.0466598057854251,0.0484911052141883,0.259287971606686,0.0459079704179609,0.692822966507177,0.397622234186301,0.000381909765481978,-0.070156,0.0322783,-0.00726075,0.0356679,0.0396711023140161,0.0118990513828969,0.000382129713936478,1,0.142322354,0.066282727
"Megascops_watsonii","upland",1,1,1,1,1,0.093381,0.011500152,0.012027073,6389,2145,2.978555,588.6307692,1262613,0.005060141,0.002896046,-1.975461273,2709.198408,9876,1411.298701,0.00125041,0.007821874,NA,NA,3.432840812,"Megascops_watsonii_AMNH3868",6.101270257,0.026877,23.225,13.3,8.2,13.3,34.22,165.6,43,127.25,25.25,90.6,1,1,1,3,4,3,129,6312593.48,0.0640715349544807,0.0639663354054038,0.325696589814103,0.0621284817580024,0.867070895522388,0.497401324551072,0.000724049748803451,-0.00531898,0.00720815,0.0488251,0.00905446,0.0855688421621572,0.0414985533657894,0.000786698154494444,1,0.141377304,0.054198182
"Monasa_morphoeus","upland",4,3,2,4,3.33,0.28447,0.006949532,0.007179633,6331,1872,3.381944,571.8632479,1070528,0.005913904,0.003633646,-1.601467424,2187.308188,7760,1352.642105,0.00133749,0.007248759,NA,NA,3.339909979,"Monasa_morphoeus_AMNH12750",6.029598031,0.045167,36.98,25.94,9.11666666666667,11.2333333333333,19.2166666666667,125.5,27.56,98.44,21.92,114.333333333333,1,1,1,3,4,3,87.9,5210334.01,0.188832462528346,0.206986977847358,0.404218485591863,0.181959990557442,0.888649811726735,0.56865412864572,0.000941979899706194,-0.477433,0.204391,-0.0876598,0.216404,0.224650002524046,0.176118542704954,0.000976065703728838,NA,0.124619539,0.289808
"Monasa_nigrifrons","floodplain",3,3,1,2,2,0.16038,0.009216261,0.009603004,6873,2069,3.321895,583.4229096,1207102,0.005693802,0.004264978,-1.345113549,2443.655267,8908,1646.502165,0.001434087,0.007439305,NA,NA,3.381068119,"Monasa_nigrifrons_LSUMNS42834",6.081743969,0.010229,37.5,28.15,9.5,12.125,21.2,127.75,21.425,106.325,16.75,118.75,1,1,1,3,4,3,80.7,7021917.73,0.127828601405627,0.1331208234817,0.362491900105356,0.123913174613253,0.866473149492017,0.524496214355403,0.00092561653374961,-0.276819,0.123963,-0.136326,0.140085,0.0862734491791958,0.0818607649059962,0.000988758904293232,NA,0.159130767,0.140962727
"Myrmeciza_fortis","upland",2,2,2,2,2,0.46484,0.01103183,0.011493725,6339,2103,3.014265,585.9472183,1232247,0.005144261,0.005058322,-1.090284412,2462.583446,8977,1811.445887,0.0016149,0.007285065,0.006725954,0.001667632,3.391390956,"Myrmeciza_fortis_INPA431",6.09069777,0.019702,23.175,13.5888888888889,5.41111111111111,6.56666666666667,34.0777777777778,81.5222222222222,8.96,74.4,10.7,62.9333333333333,1,1,1,3,4,3,45.9,1945728.92,0.293269865111439,0.320054097017648,0.463098929581794,0.283827625913432,0.884265901482544,0.608762990185572,0.00102424576142704,0.00322135,0.00736514,0.629366,0.0967092,0.198672386080906,0.247035007518173,0.00132798138285773,2,0.120747258,0.426474545
"Myrmeciza_hyperythra","floodplain",1,1,1,1,1,0.058035,0.013562604,0.014353366,4381,2120,2.066509,571.0481132,1210622,0.003618801,0.003145197,-1.311638382,1721.366951,6275,1173.748918,0.00110611,0.005183286,0.009731957,0.00658676,3.235873461,"Myrmeciza_hyperythra_FMNH433423",6.083008562,0.005293,24.94,14.3875,5.27777777777778,6.22222222222222,29.2444444444444,76.8333333333333,4.6,73.25,6.075,56.1555555555556,1,1,1,3,4,3,41,1642348.58,0.0795205385813958,0.0789389034182907,0.311226390789044,0.0778080026441142,0.792003807710614,0.463693353578377,0.000591445911109651,-0.0743746,0.0484038,0.0216613,0.0594196,0.0619424320707965,0.0283323598831818,0.000617769448725199,4,0.169096846,0.104174545
"Myrmoborus_leucophrys","floodplain",3,2,2,3,2.67,0.2226,NA,NA,9508,2120,4.484906,588.3113208,1247220,0.007623354,0.004352389,-1.728394137,3566.452866,13001,2071.640693,0.00175931,0.010423983,0.006498883,0.002146494,3.552236489,"Myrmoborus_leucophrys_INPA32",6.095943066,0.051249,18.0333333333333,10.7833333333333,4.52631578947368,4.66315789473684,25.1947368421053,64.9421052631579,8.72307692307692,56.4294117647059,13.6307692307692,43.8157894736842,1,1,1,3,4,3,21.5,5113605.96,0.182837573782877,0.201574573838891,0.41442939707502,0.175332360053214,0.940926275992439,0.588873840549027,0.00121632453804651,-0.466831,0.198162,-0.164878,0.202756,0.170138646718737,0.162750754094361,0.00121116407742247,1,0.124202428,0.231985455
"Myrmoborus_lugubris","island",3,3,2,3,2.67,0.19539,0.001294573,0.001299511,3280,2219,1.478143,585.0292925,1298180,0.002526614,0.004023307,-0.960161402,2127.038253,7058,1662.5,0.00140873,0.005436842,0.005824775,0.001801468,3.3277753,"Myrmoborus_lugubris_76_LSU93417",6.113334914,0.0052,19.45,11.625,4.95,5.2125,26.5375,66.6875,8.275,59.175,12.55,39.9,1,1,1,3,4,3,21.4,290798.01,0.17204079957456,0.178485733492018,0.357361852623425,0.164943555222489,0.772357723577236,0.502687001058783,0.000824650789010658,-0.05738,0.0545499,0.197765,0.11709,0.163819227979666,0.126950297698619,0.000866218412649718,1,0.188397894,0.25126125
