INDV,O(HOM),E(HOM),N_SITES,F
Megascops_watsonii_LSUMNS4521,4687,4809.9,5643,-0.14756
Megascops_watsonii_LSUMNS75828,5461,5324.2,6265,0.14543
Megascops_watsonii_LSUMNS80997,5263,5257.6,6182,0.00584
Megascops_watsonii_LSUMNS947,5541,5340.1,6282,0.21332
Megascops_watsonii_MPEG5114,5334,5342.3,6285,-0.00884
Megascops_watsonii_MPEG632,5344,5241.3,6162,0.11158
Megascops_watsonii_MPEG9198,5239,5305.9,6240,-0.07165
Megascops_watsonii_USNMB06991,5464,5318.4,6255,0.15544
Monasa_morphoeus_AMNH12750,5103,4789.5,5812,0.30663
Monasa_morphoeus_INPA3002,5071,4819.5,5849,0.24429
Monasa_morphoeus_LSUMNS2686,4902,4722.2,5730,0.17838
Monasa_morphoeus_LSUMNS28006,4844,4652.7,5638,0.19416
Monasa_morphoeus_LSUMNS35587,5047,4718.2,5718,0.32885
Monasa_morphoeus_LSUMNS42358,5040,4811.7,5838,0.22247
Monasa_morphoeus_MPEG1432,5078,4642.1,5622,0.44486
Monasa_morphoeus_MPEG2245,5241,4756.4,5770,0.47811
Monasa_morphoeus_MPEG2423,5051,4736.1,5743,0.31276
Monasa_morphoeus_MPEG4939,4967,4775.8,5795,0.18757
Monasa_nigrifrons_FMNH321039,5628,5417.1,6655,0.17037
Monasa_nigrifrons_FMNH456622,5430,5326.6,6537,0.0854
Monasa_nigrifrons_INPA5607,5478,5336.6,6545,0.11702
Monasa_nigrifrons_LSUMNS42834,5538,5390.7,6618,0.12002
Monasa_nigrifrons_LSUMNS5042,5409,5326,6532,0.06879
Monasa_nigrifrons_MPEG10345,5782,5500.8,6764,0.2226
Monasa_nigrifrons_MPEG11481,5652,5429.7,6668,0.17952
Monasa_nigrifrons_MPEG15519,5824,5357.6,6573,0.38373
Monasa_nigrifrons_MPEG16028,5387,5376.8,6598,0.00833
Monasa_nigrifrons_MPEG17327,5342,5147.9,6309,0.16719
Monasa_nigrifrons_MPEG2312,5559,5333.9,6542,0.18634
Monasa_nigrifrons_USNMB07074,5718,5438.7,6680,0.22501
Myrmeciza_fortis_FMNH457129,5499,4824.2,6110,0.52479
Myrmeciza_fortis_INPA431,5215,4688.2,5928,0.4249
Myrmeciza_fortis_LSUMNS11047,5273,4873.4,6174,0.30726
Myrmeciza_fortis_LSUMNS27685,5651,4842.8,6134,0.62594
Myrmeciza_fortis_LSUMNS4299,5467,4892,6198,0.44028
Myrmeciza_fortis_LSUMNS43063,5570,4906.1,6222,0.50452
Myrmeciza_fortis_LSUMNS78791,5446,4890.1,6196,0.4257
Myrmeciza_fortis_LSUMNS9094,5349,4903,6214,0.34021
Myrmeciza_fortis_MPEG3804,5270,4771.2,6039,0.39346
Myrmeciza_fortis_MPEG3868,5367,4884,6188,0.3704
Myrmeciza_fortis_MPEG5024,5277,4845.7,6138,0.33376
Myrmeciza_hyperythra_FMNH433423,3341,3241.1,3984,0.13447
Myrmeciza_hyperythra_INPA31,3524,3433.8,4232,0.11299
Myrmeciza_hyperythra_KU439,3553,3421.1,4217,0.16569
Myrmeciza_hyperythra_LSUMNS27370,3454,3443.4,4248,0.0132
Myrmeciza_hyperythra_LSUMNS35684,3566,3490.8,4306,0.09219
Myrmeciza_hyperythra_LSUMNS42497,3461,3430,4227,0.03892
Myrmeciza_hyperythra_LSUMNS7342,3486,3420.2,4214,0.08295
Myrmeciza_hyperythra_LSUMNS75668,3547,3473.4,4284,0.09081
Myrmeciza_hyperythra_MPEG13975,3575,3472.3,4283,0.12673
Myrmeciza_hyperythra_MPEG3395,3637,3496.3,4312,0.17247
Myrmeciza_hyperythra_MPEG4370,3524,3431.5,4232,0.1155
Myrmoborus_leucophrys_INPA32,7909,7825.7,9338,0.05507
Myrmoborus_leucophrys_KU18514,7901,7763.2,9261,0.09201
Myrmoborus_leucophrys_LSUMNS1005,7906,7726.8,9218,0.1202
Myrmoborus_leucophrys_LSUMNS10883,7826,7725.5,9213,0.06756
Myrmoborus_leucophrys_LSUMNS46168,7882,7761,9260,0.08069
Myrmoborus_leucophrys_MPEG11444,8205,7671.9,9153,0.35994
Myrmoborus_leucophrys_MPEG16066,7888,7777.9,9280,0.07328
Myrmoborus_leucophrys_MPEG16732,8249,7736.5,9228,0.34361
Myrmoborus_leucophrys_MPEG1868,8366,7793.9,9297,0.38061
Myrmoborus_leucophrys_MPEG6752,8515,7773.4,9271,0.4952
Myrmoborus_leucophrys_USNMB12301,8396,7681.3,9159,0.48367
Myrmoborus_myotherinus_AMNH8777,8866,8137.7,9936,0.40499
Myrmoborus_myotherinus_AMNH8837,8934,8162.4,9974,0.42592
Myrmoborus_myotherinus_LSUMNS1039,8691,7865.6,9596,0.477
Myrmoborus_myotherinus_LSUMNS42235,8782,8113.8,9910,0.37199
Myrmoborus_myotherinus_LSUMNS4345,8571,8082.9,9869,0.27327
Myrmoborus_myotherinus_MPEG10893,8944,8130.7,9932,0.4515
Myrmoborus_myotherinus_MPEG3884,8657,7959,9708,0.39908
Myrmoborus_myotherinus_MPEG390,8953,8073.7,9858,0.49281
Myrmoborus_myotherinus_MPEG4187,9090,8167.8,9978,0.50945
Myrmoborus_myotherinus_MPEG9173,8840,8196.5,10015,0.35386
Myrmoborus_myotherinus_MPEG9511,9053,8065.8,9855,0.55174
Phaethornis_bourcieri_AMNH11853,8205,6941.9,8890,0.64838
Phaethornis_bourcieri_AMNH14368,8164,6865.2,8789,0.67511
Phaethornis_bourcieri_LSUMNS27643,8045,6913.7,8856,0.58246
Phaethornis_bourcieri_LSUMNS4314,7955,6780.3,8678,0.619
Phaethornis_bourcieri_LSUMNS75469,8217,6978.1,8944,0.63019
Phaethornis_bourcieri_MPEG10930,7780,6810.9,8716,0.50869
Phaethornis_bourcieri_MPEG1805,8005,6961.1,8913,0.53482
Phaethornis_philippii_LSUMNS9442,7760,6925.7,8868,0.42955
Phaethornis_philippii_MPEG3369,7858,6928.3,8874,0.47782
Phaethornis_philippii_MPEG386,7756,6956.1,8908,0.40979
Phaethornis_hispidus_FMNH433168,5738,5734.8,6951,0.00264
Phaethornis_hispidus_LSUMNS103606,5781,5760.6,6986,0.01668
Phaethornis_hispidus_LSUMNS10677,5663,5721.4,6935,-0.04811
Phaethornis_hispidus_LSUMNS42786,5629,5597.1,6781,0.02693
Phaethornis_hispidus_LSUMNS6802,5597,5530.1,6693,0.05755
Phaethornis_hispidus_MPEG10447,5780,5627.7,6818,0.12798
Phaethornis_hispidus_MPEG13651,6126,5700.7,6907,0.35256
Phaethornis_hispidus_MPEG13967,5500,5514.9,6675,-0.01288
Phaethornis_hispidus_MPEG15892,5850,5767.3,6995,0.06738
Phaethornis_hispidus_MPEG16385,5997,5736.2,6955,0.21398
Phaethornis_hispidus_MPEG3535,5726,5760.2,6983,-0.028
Pheugopedius_coraya_AMNH4240,12020,11568.6,13611,0.22103
Pheugopedius_coraya_KU16858,12547,11497.7,13528,0.51683
Pheugopedius_coraya_LSUMNS4133,12055,11696.2,13767,0.17325
Pheugopedius_coraya_LSUMNS46172,11426,11429.4,13443,-0.00169
Pheugopedius_coraya_MPEG12256,12457,11465.6,13482,0.49166
Pheugopedius_coraya_MPEG9534,11997,11105.4,13043,0.46017
Pheugopedius_genibarbis_INPA1333,12020,11408.5,13414,0.30491
Pheugopedius_genibarbis_LSUMNS58336,12162,11438.3,13454,0.35905
Pheugopedius_genibarbis_MPEG10477,12065,11364.8,13363,0.3504
Pheugopedius_genibarbis_MPEG12881,12386,11432.2,13447,0.47339
Pheugopedius_genibarbis_MPEG13470,12585,11336.7,13330,0.62626
Pheugopedius_genibarbis_MPEG9500,12764,11567.6,13612,0.58521
Piaya_cayana_FMNH392671,9921,9709.1,11392,0.1259
Piaya_cayana_KU16728,9857,9699.8,11382,0.09345
Piaya_cayana_LSUMNS31482,10004,9795,11500,0.1226
Piaya_cayana_LSUMNS35624,10042,9795.8,11500,0.14446
Piaya_cayana_LSUMNS44417,9922,9804.5,11511,0.06885
Piaya_cayana_LSUMNS72132,8428,7918.9,9209,0.39461
Piaya_cayana_LSUMNS75766,9705,9534.3,11180,0.10372
Piaya_cayana_MPEG1237,9802,9541.9,11189,0.15789
Piaya_cayana_MPEG15020,9684,9415.6,11029,0.16637
Piaya_cayana_MPEG2161,9289,9124.7,10674,0.10605
Piaya_cayana_MPEG3662,9322,9232.2,10805,0.05707
Piaya_cayana_USNMB13940,9909,9759.9,11456,0.0879
Piaya_melanogaster_INPA1392,5758,5390.6,6480,0.33723
Piaya_melanogaster_KU3921,5931,5360.8,6443,0.52687
Piaya_melanogaster_LSUMNS36684,5078,5324.7,6402,-0.22904
Piaya_melanogaster_LSUMNS42540,5702,5310.7,6381,0.36561
Piaya_melanogaster_LSUMNS76234,5758,5381.1,6468,0.34675
Piaya_melanogaster_LSUMNS78489,5624,5275.9,6338,0.32772
Piaya_melanogaster_MPEG2461,5505,5097.8,6113,0.40111
Piaya_melanogaster_MPEG3831,5592,5249.5,6304,0.32481
Piaya_melanogaster_MPEG5177,5502,5181.2,6211,0.31149
Piaya_melanogaster_MPEG9244,5524,5097.8,6114,0.41938
Piaya_melanogaster_USNMB14512,2979,5346.3,6422,-2.20063
Pipra_chloromeros_KU18533,9419,8905.5,10301,0.36797
Pipra_chloromeros_LSUMNS106768,9585,8962,10367,0.4434
Pipra_erythrocephala_AMNH14356,8550,8374.5,9657,0.13686
Pipra_erythrocephala_LSUMNS3092,9124,8962,10368,0.1152
Pipra_erythrocephala_MPEG6699,9052,8865.5,10250,0.13472
Pipra_erythrocephala_MVZ165267,9034,8828.9,10206,0.14891
Pipra_mentalis_LSUMNS16080,9652,8964.7,10373,0.48804
Pipra_rubrocapilla_FMNH427182,9282,8909.4,10303,0.26738
Pipra_rubrocapilla_FMNH457363,9147,8906.9,10299,0.17248
Pipra_rubrocapilla_MPEG14204,9184,8971.9,10379,0.15075
Pipra_rubrocapilla_MPEG14850,9112,8924.3,10321,0.13438
Pipra_rubrocapilla_MPEG7551,9000,8824.5,10198,0.12775
Pipra_rubrocapilla_MPEG854,7969,7752.6,8924,0.18473
Pipra_aureola_MPEG11971,5443,5057.7,6178,0.34394
Pipra_aureola_MPEG1199,4985,4519.3,5497,0.4763
Pipra_aureola_MPEG16053,5294,5145.2,6290,0.12999
Pipra_fasciicauda_FMNH433698,5287,5141.9,6287,0.12672
Pipra_fasciicauda_MPEG10317,5332,5057.9,6176,0.24513
Pipra_fasciicauda_MPEG17411,5330,5049.3,6165,0.2516
Pipra_filicauda_AMNH4246,5476,5103.1,6237,0.32889
Pipra_filicauda_INPA2095,5498,5119.4,6258,0.33251
Pipra_filicauda_LSUMNS42835,5333,5003.8,6113,0.29678
Pipra_filicauda_MPEG3278,5407,5079.7,6207,0.29036
Saltator_coerulescens_FMNH391613,11229,10681.5,12773,0.26178
Saltator_coerulescens_INPA2123,11609,10797.9,12923,0.38168
Saltator_coerulescens_INPA6946,11063,10640.6,12723,0.20286
Saltator_coerulescens_KU3038,11334,10597.6,12673,0.35482
Saltator_coerulescens_KU9321,11585,10602.5,12674,0.47429
Saltator_coerulescens_LSUMNS6816,10784,10378.9,12393,0.20115
Saltator_coerulescens_LSUMNS7298,11284,10752.3,12863,0.25191
Saltator_coerulescens_LSUMNS75970,11171,10749.7,12861,0.19956
Saltator_coerulescens_MPEG15265,11244,10500.9,12547,0.36317
