species,habitat,species_sample,sample_size,STRUCTURE,BAPS,DAPC,Av_groups,Fst_vcftools,SNPs,loci,SNPs_per_locus,av_contig_length,total_bp,SNPs_per_bp,Av_UCE_gene_tree_length,D,theta,seg_sites,pairwise_diffs,nuc_div,seg_sites_per_bp,subtending_branch,stem_length,Sister_clade_richness,mtDNA.branch.length,Beak.Length_Culmen_1,Beak.Length_Nares,Beak.Width_1,Beak.Depth_1,Tarsus.Length_1,Wing.Length_1,Kipps.Distance_1,Secondary1_1,Hand.wing.Index,Tail.Length_1,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Mass,Range.Size,haplotype.F_ST,nucleotide.F_ST,Nei.G_ST,Hudson.G_ST,Hudson.H_ST,Hudson.K_ST,Dxy,e_statistic,e_slope,a_statistic,a_slope,Nei.G_ST.pop,nucleotide.F_ST.pop,Dxy.pop,heterozygosity,inbreeding,N_SITES,theta.bp
Leucippus_chlorocercus,island,Leucippus_chlorocercus_58_LSU7264,4,1,1,1,1,0.045538,2326,1927,1.207058,715.1966788,1378184,0.001687728,0.001917223,-0.729173143,1584.738292,4109,1374.821429,0.00103774,0.00298146,NA,NA,40,NA,19.55,14.825,2.375,2.05,5.875,56.125,34.05,22.075,60.675,35.25,3,1,1,2,2,1,4.6,173795.89,0.016313583,0.022412732,0.252320133,0.024885194,0.703916449,0.451353782,0.00086714,0.0236997,0.0262899,-0.0124199,0.045771,0.138717257,0.007471592,0.000903741,0.358026104,0.0191475,2218.25,0.0011
Mazaria_propinqua,island,Mazaria_propinqua_135_LSU43083,8,1,1,1,1,-0.031166,3094,2168,1.427122,739.8929889,1604088,0.001928822,0.002436148,-1.231947256,6116.852446,21701,4321.6,0.00341654,0.01352856,0.008477749,0.006041601,1,0.000354,17.3,11.5625,3.155555556,3.622222222,21.83333333,58.84444444,6.425,52.6625,10.8375,69.75,3,1,1,1,1,3,19.9,531677.41,0.017867975,0.012179731,0.296652125,0.019175359,0.850844278,0.485486078,0.001128614,0.0110709,0.00736059,-0.0427887,0.0149744,0.080553305,0.017534131,0.000764969,0.208282381,0.114385,2515.166667,0.0038
Megascops_choliba,floodplain,Megascops_choliba_AMNH4811,11,1,1,1,1,0.033351,3370,2109,1.597914,587.3091513,1238635,0.002720737,0.001576633,-1.639733,1214.695277,4428,731.5281385,0.000632095,0.003875234,NA,NA,1,0.009314,21.78181818,12.1,6.95625,11.71578947,30.02727273,162.7809524,33.62222222,124.5444444,21.03333333,91.25238095,4,2,1,1,1,3,132,13065137.78,0.046659806,0.048491105,0.259287972,0.04590797,0.692822967,0.397622234,0.00038191,-0.070156,0.0322783,-0.00726075,0.0356679,0.039671102,0.011899051,0.00038213,0.142322354,0.066282727,3219.909091,0.0010
Megascops_watsonii,upland,Megascops_watsonii_AMNH3868,11,1,1,1,1,0.093381,6389,2145,2.978555,588.6307692,1262613,0.005060141,0.002896046,-1.975461273,2709.198408,9876,1411.298701,0.00125041,0.007821874,NA,NA,1,0.026877,23.225,13.3,8.2,13.3,34.22,165.6,43,127.25,25.25,90.6,1,1,1,1,1,3,129,6312593.48,0.064071535,0.063966335,0.32569659,0.062128482,0.867070896,0.497401325,0.00072405,-0.00531898,0.00720815,0.0488251,0.00905446,0.085568842,0.041498553,0.000786698,0.141377304,0.054198182,6163,0.0021
Monasa_morphoeus,upland,Monasa_morphoeus_AMNH12750,11,3,2,4,3.33,0.28447,6331,1872,3.381944,571.8632479,1070528,0.005913904,0.003633646,-1.601467424,2187.308188,7760,1352.642105,0.00133749,0.007248759,NA,NA,NA,0.045167,36.98,25.94,9.116666667,11.23333333,19.21666667,125.5,27.56,98.44,21.92,114.3333333,1,1,1,1,1,3,87.9,5210334.01,0.188832463,0.206986978,0.404218486,0.181959991,0.888649812,0.568654129,0.00094198,-0.477433,0.204391,-0.0876598,0.216404,0.224650003,0.176118543,0.000976066,0.124619539,0.289808,5751.5,0.0020
Monasa_nigrifrons,floodplain,Monasa_nigrifrons_LSUMNS42834,11,3,1,2,2,0.16038,6873,2069,3.321895,583.4229096,1207102,0.005693802,0.004264978,-1.345113549,2443.655267,8908,1646.502165,0.001434087,0.007439305,NA,NA,NA,0.010229,37.5,28.15,9.5,12.125,21.2,127.75,21.425,106.325,16.75,118.75,1,1,1,1,1,3,80.7,7021917.73,0.127828601,0.133120823,0.3624919,0.123913175,0.866473149,0.524496214,0.000925617,-0.276819,0.123963,-0.136326,0.140085,0.086273449,0.081860765,0.000988759,0.159130767,0.140962727,6586.181818,0.0020
Myrmeciza_fortis,upland,Myrmeciza_fortis_INPA431,11,2,2,2,2,0.46484,6339,2103,3.014265,585.9472183,1232247,0.005144261,0.005058322,-1.090284412,2462.583446,8977,1811.445887,0.0016149,0.007285065,0.006725954,0.001667632,2,0.019702,23.175,13.58888889,5.411111111,6.566666667,34.07777778,81.52222222,8.96,74.4,10.7,62.93333333,1,1,1,1,1,3,45.9,1945728.92,0.293269865,0.320054097,0.46309893,0.283827626,0.884265901,0.60876299,0.001024246,0.00322135,0.00736514,0.629366,0.0967092,0.198672386,0.247035008,0.001327981,0.120747258,0.426474545,6140.090909,0.0020
Myrmeciza_hyperythra,floodplain,Myrmeciza_hyperythra_FMNH433423,11,1,1,1,1,0.058035,4381,2120,2.066509,571.0481132,1210622,0.003618801,0.003145197,-1.311638382,1721.366951,6275,1173.748918,0.00110611,0.005183286,0.009731957,0.00658676,4,0.005293,24.94,14.3875,5.277777778,6.222222222,29.24444444,76.83333333,4.6,73.25,6.075,56.15555556,1,1,1,1,1,3,41,1642348.58,0.079520539,0.078938903,0.311226391,0.077808003,0.792003808,0.463693354,0.000591446,-0.0743746,0.0484038,0.0216613,0.0594196,0.061942432,0.02833236,0.000617769,0.169096846,0.104174545,4230.818182,0.0014
Myrmoborus_leucophrys,floodplain,Myrmoborus_leucophrys_INPA32,11,2,2,3,2.67,0.2226,9508,2120,4.484906,588.3113208,1247220,0.007623354,0.004352389,-1.728394137,3566.452866,13001,2071.640693,0.00175931,0.010423983,0.006498883,0.002146494,1,0.051249,18.03333333,10.78333333,4.526315789,4.663157895,25.19473684,64.94210526,8.723076923,56.42941176,13.63076923,43.81578947,1,1,1,1,1,3,21.5,5113605.96,0.182837574,0.201574574,0.414429397,0.17533236,0.940926276,0.588873841,0.001216325,-0.466831,0.198162,-0.164878,0.202756,0.170138647,0.162750754,0.001211164,0.124202428,0.231985455,9243.454545,0.0029
Myrmoborus_lugubris,island,Myrmoborus_lugubris_76_LSU93417,8,3,2,3,2.67,0.19539,3280,2219,1.478143,585.0292925,1298180,0.002526614,0.004023307,-0.960161402,2127.038253,7058,1662.5,0.00140873,0.005436842,0.005824775,0.001801468,1,0.0052,19.45,11.625,4.95,5.2125,26.5375,66.6875,8.275,59.175,12.55,39.9,1,1,1,1,1,3,21.4,290798.01,0.1720408,0.178485733,0.357361853,0.164943555,0.772357724,0.502687001,0.000824651,-0.05738,0.0545499,0.197765,0.11709,0.163819228,0.126950298,0.000866218,0.188397894,0.25126125,3027.5,0.0016
