"species","haplotype.F_ST","nucleotide.F_ST","Nei.G_ST","Hudson.G_ST","Hudson.H_ST","Hudson.K_ST","Dxy"
"Crypturellus_variegatus",0.112165622985478,0.139724211292216,0.122911399430331,0.0730515059924668,0.074601771965236,0.54495634922169,0.00179316072265017
"Glaucidium_hardyi",0.0301983092495527,0.0305271010698327,0.0530755806066854,0.022363460781843,0.0113752235262437,0.247693857039956,0.000324801668927795
"Hylophylax_naevia",0.305131582784856,0.407669156475069,0.293771653036535,0.253886797643914,0.266602603722778,0.617089337408184,0.00280805924687542
"Hylophylax_punctulata",0.0736666118789084,0.0796835356210879,0.09776586472597,0.0448895040453229,0.0445676822860886,0.513737842072828,0.00125074816904939
"Megascops_watsonii",0.0444245530245819,0.0414985533657894,0.0855688421621572,0.0431118855565923,0.0188978443017492,0.086760142184757,0.000786698154494444
"Monasa_morphoeus",0.16205948812892,0.176118542704954,0.224650002524046,0.142600012320124,0.128995202302699,0.341658826865408,0.000976065703728838
"Myrmeciza_fortis",0.218767189376543,0.247035007518173,0.198672386080906,0.155653335090329,0.16418245228281,0.564847699560692,0.00132798138285773
"Myrmeciza_hyperythra",0.0294117358793983,0.0283323598831818,0.0619424320707965,0.0234347827619547,0.016653206094916,0.301376943228083,0.000617769448725199
"Myrmoborus_leucophrys",0.153493683580712,0.162750754094361,0.170138646718737,0.11088993691659,0.109804059546375,0.328252492398662,0.00121116407742247
"Myrmoborus_myotherinus",0.261182984585052,0.311924646335608,0.284827965373858,0.217261075423352,0.201898093324065,0.450475922859879,0.00165088184783752
"Phaethornis_bourcieri",0.343336261571002,0.4095465360603,0.352023075488179,0.291253748898518,0.265524172206846,0.527129181621485,0.0019074079861768
"Phaethornis_hispidus",0.0309383935931256,0.031806622394874,0.0610847442265669,0.0195882339885366,0.0129207564832339,0.427347813999719,0.000953471719256307
"Piaya_melanogaster",0.0815418666455591,0.0530963000639083,0.0986134729056886,0.0544575456455629,-0.0167077834356691,-0.084242010584587,0.00118614734807399
"Pipra_filicauda",0.14153466223181,0.153922553064868,0.207494358747421,0.12809784272894,0.126271284749662,0.322372769514118,0.000921349071418536
"Schiffornis_major",0.0252439352327697,0.0128610213574819,0.117415740001172,0.0815903110920699,-0.0222065441746386,-0.795859538119021,0.00137908058578675
"Synallaxis_gujanensis",0.229186952887282,0.272255367363075,0.217907663135873,0.163510106813252,0.177435386358184,0.545071845971654,0.00178006380666913
"Synallaxis_rutilans",0.0839639649029184,0.0931112865699172,0.098121580278372,0.0562213088820171,0.059011372367792,0.472050518126989,0.000833401229301224
"Xiphorhynchus_elegans",0.206395280688938,0.239319092144547,0.21195074844242,0.172556564083887,0.176565531301955,0.497960316314403,0.00134662416590033
"Xiphorhynchus_obsoletus",0.0174152167779068,0.0190928962370123,0.0521890507313559,0.0129464408562207,0.00932501134304194,0.403026532584642,0.000720539846096236
"Conirostrum_bicolor",0.0573400014348548,0.054919600575804,0.107358794096296,0.042865065930923,0.0154779991795122,0.358128993105561,0.0008963975134283
"Conirostrum_margaritae",-0.000775317167967051,-0.00234025536147667,0.0818535162626255,0.00725134442609669,0.00676269353786051,0.325538319193992,0.000541980096201608
"Cranioleuca_vulpecula",0.0361736879818155,0.0333669844718449,0.0745708662643246,0.0291521189442791,0.0153676527486273,0.245318066996324,0.000420966815183341
"Dendroplex_kienerii",0.0408958886865608,0.0422461963507024,0.0828876962256081,0.0268438263838424,0.0237947017212024,0.41197714732993,0.000725052434957853
"Elaenia_pelzelni",-0.0216490573855396,-0.0170356138010508,0.241765071472963,0.0251857113261712,0.69608452454941,0.526643265848732,0.0013511444736478
"Furnarius_minor",0.0268906770531639,0.0264568573192772,0.12007702479209,0.0505231237445592,0.0376668441407627,0.183084211230286,0.000594107719601436
"Knipolegus_orenocensis",0.274434896100194,0.304187606199944,0.272859221165306,0.203154625148779,0.184733756034639,0.379507493958836,0.00127563197506044
"Talaphorus_chlorocercus",0.00478880562431475,0.00747159235387015,0.13871725749195,0.0358527359510701,0.0120574483272284,0.319481483774596,0.000903741133166068
"Mazaria_propinqua",0.0349692772735025,0.0175341305103446,0.0805533045588899,0.0697122051862053,-0.0757856010661548,-0.494560341025522,0.000764969414902432
"Myrmoborus_lugubris",0.124693880620258,0.126950297698619,0.163819227979666,0.0950289993798571,0.093938360613155,0.350806474126576,0.000866218412649718
"Myrmochanes_hemileucus",0.015589143716804,0.0143814048010929,0.0725375550888137,0.0124915664479796,0.0297381618371032,0.433292101728395,0.000931521851656285
"Myrmotherula_assimilis",0.0468896299114452,0.0452906351575624,0.101455971434896,0.0381355748450924,0.0265118774695221,0.357355239081704,0.000969867452575386
"Myrmotherula_klagesi",0.0318315852530308,0.033045386405083,0.0861979872586417,0.0222896905339013,0.0243497735499931,0.467713257212631,0.00106487167534403
"Ochthornis_littoralis",0.00954158647360003,0.00773084356093022,0.0295001932519027,0.0112787709902727,-0.000528882753631745,0.124061899617566,0.000184510236167433
"Serpophaga_hypoleuca",0.0371868862236503,0.0326160511205455,0.0685734915819136,0.031067840987378,-0.0071083143585288,0.142571395527562,0.000481883660901816
"Stigmatura_napensis",0.0294578339938631,0.0238848521903516,0.0972524226123131,0.0534262340220811,-0.0162383988303326,-0.0809965892057279,0.000501659205787256
"Thamnophilus",0.15777668023901,0.166147084978664,0.137771304285547,0.121164167249381,0.122408470657335,0.437509912860364,0.000973678949697531
